,customer_id,gross_revenue,recency_days,qtde_invoices,qtde_items,qtde_products,avg_ticket,avg_recency_days,frequency,qtde_returns,avg_basket_size,avg_unique_basket_size,revenue_returned,cluster
2,12583,6705.38,2.0,15,5028,232,28.9025,-5.462231224143265,0.04043126684636118,50.0,335.2,7.6,-76.03999999999999,8
5,15291,4623.3,25.0,14,2102,102,45.326470588235296,-3.178549616733361,0.04011461318051576,29.0,150.14285714285714,4.357142857142857,-71.79,8
6,14688,5630.87,7.0,21,3621,327,17.219785932721713,-3.1423174439862795,0.05722070844686648,399.0,172.42857142857142,7.0476190476190474,-523.49,8
7,17809,5411.91,15.0,12,2057,61,88.71983606557377,-2.714442357050744,0.0335195530726257,41.0,171.41666666666666,3.8333333333333335,-67.06,8
8,15311,60767.9,1.0,91,38194,2379,25.543463640184953,-1.765182756024118,0.24331550802139038,474.00000000000006,419.7142857142857,6.230769230769231,-1348.56,8
12,16029,72882.09,38.0,62,40207,241,302.4153112033195,-1.7662177253980444,0.18452380952380953,8004.0,648.5,0.6935483870967742,-14688.24,8
14,12431,6382.45,35.0,15,2899,233,27.392489270386264,-2.9664176587128916,0.04424778761061947,50.0,193.26666666666668,10.8,-71.06,8
15,17511,91062.38,2.0,31,64549,963,94.5611422637591,-2.0218358910994056,0.0862533692722372,1535.0,2082.2258064516127,14.612903225806452,-2924.18,8
18,13408,28117.04,1.0,62,16232,478,58.82225941422595,-2.0634019254549183,0.16666666666666666,104.0,261.80645161290323,3.774193548387097,-228.66,8
19,13767,17220.36,1.0,37,7322,368,46.79445652173913,-2.1901161916305405,0.09946236559139784,64.0,197.8918918918919,1.4864864864864864,-274.65000000000003,8
23,15513,14758.220000000001,32.0,19,5709,308,47.91629870129871,-3.2174977079775515,0.05571847507331378,164.0,300.4736842105263,9.631578947368421,-238.14000000000001,8
25,16218,3084.68,29.0,7,2088,84,36.72238095238095,-3.71417724607243,0.020348837209302327,11.0,298.2857142857143,8.0,-29.810000000000002,8
27,14307,2995.72,88.0,6,2058,180,16.642888888888887,-2.906764747512945,0.021052631578947368,0.0,343.0,25.0,0.0,8
29,17920,4192.2,3.0,17,2514,695,6.031942446043165,-5.367452707587381,0.04594594594594595,0.0,147.88235294117646,23.88235294117647,0.0,8
35,13694,65039.62,3.0,50,63312,568,114.50637323943663,-1.9336456270826288,0.13513513513513514,1504.0,1266.24,7.32,-2115.52,8
37,14849,7930.54,21.0,25,5694,388,20.439536082474227,-2.120922179697467,0.07102272727272728,38.0,227.76,6.36,-26.259999999999998,8
39,16210,21076.3,1.0,17,7558,122,172.75655737704918,-4.514573521184625,0.045576407506702415,0.0,444.5882352941176,4.294117647058823,0.0,8
41,17377,4100.92,23.0,20,2076,418,9.810813397129186,-3.716163444912401,0.05714285714285714,1.0,103.8,9.5,-175.0,8
46,12748,32317.32,1.0,206,25511,4580,7.056183406113537,-1.2196482805374493,0.5549597855227882,1535.0,123.83980582524272,8.572815533980583,-1830.79,8
52,12662,3543.78,1.0,11,2041,220,16.10809090909091,-4.804364900474335,0.029490616621983913,18.0,185.54545454545453,11.636363636363637,-32.699999999999996,8
57,12433,13375.87,1.0,7,11071,420,31.847309523809525,-3.014389223547862,0.01876675603217158,0.0,1581.5714285714287,31.285714285714285,0.0,8
65,14911,140450.72,1.0,199,80263,5673,24.7577507491627,-1.199586268502339,0.5361930294906166,3332.0000000000005,403.3316582914573,8.974874371859297,-7443.59,8
71,17841,40967.72,1.0,124,23053,7838,5.226807859147742,-1.5137408019222105,0.3333333333333333,203.0,185.91129032258064,10.661290322580646,-634.5,8
74,13093,7832.47,275.0,8,3961,159,49.260817610062894,-2.445573693493827,0.08163265306122448,18.0,495.125,12.125,-91.0,8
75,12921,16587.09,8.0,37,9526,720,23.037625,-1.9546273417271738,0.10136986301369863,72.0,257.4594594594595,6.297297297297297,-197.35,8
76,13468,5704.97,1.0,37,2589,302,18.89062913907285,-4.2975481093343175,0.10215053763440861,8.0,69.97297297297297,4.972972972972973,-48.22,8
79,16928,2839.65,79.0,17,2113,208,13.652163461538462,-4.8368813337081855,0.05802047781569966,20.0,124.29411764705883,4.0,-66.1,8
86,13777,25977.16,1.0,33,12897,197,131.86375634517768,-2.4053500595963717,0.08847184986595175,90.0,390.8181818181818,1.0909090909090908,-219.06,8
90,18229,7276.900000000001,11.0,20,2488,164,44.37134146341464,-8.33326602052024,0.055248618784530384,0.0,124.4,3.3,0.0,8
94,14606,12021.65,1.0,91,6215,2698,4.455763528539659,-1.8000809935205184,0.24932975871313673,244.99999999999997,68.2967032967033,8.978021978021978,-439.55,8
98,13576,6717.34,9.0,18,2646,126,53.312222222222225,-8.06890389590042,0.049586776859504134,6.0,147.0,4.333333333333333,-14.040000000000001,8
101,13090,8895.82,8.0,13,2262,154,57.765064935064935,-4.367595215625423,0.03561643835616438,69.0,174.0,7.461538461538462,-221.43,8
112,17017,8694.26,2.0,20,6673,252,34.50103174603175,-2.3516294228142045,0.05405405405405406,60.0,333.65,4.4,-120.15,8
113,14135,4690.31,1.0,15,3850,134,35.00231343283583,-3.680332809281312,0.04032258064516129,0.0,256.6666666666667,6.333333333333333,0.0,8
115,15601,6776.56,10.0,14,4983,410,16.52819512195122,-4.474181990770473,0.03867403314917127,5.0,355.92857142857144,16.428571428571427,-31.2,8
116,13418,6127.43,11.0,18,3918,304,20.156019736842108,-2.1958283595075283,0.04986149584487535,79.0,217.66666666666666,12.38888888888889,-281.98999999999995,8
120,18041,4183.39,11.0,21,3819,472,8.863114406779662,-4.865406632680259,0.058011049723756904,9.0,181.85714285714286,13.571428571428571,-22.25,8
121,15955,4416.26,23.0,14,2135,183,24.13256830601093,-2.965456122833885,0.04011461318051576,11.0,152.5,9.785714285714286,-26.45,8
126,14390,4652.82,9.0,9,2136,286,16.268601398601398,-2.070444980163068,0.024793388429752067,11.0,237.33333333333334,15.0,-60.35,8
131,14060,6140.42,4.0,19,5386,202,30.39811881188119,-6.126292291315466,0.051490514905149054,12.0,283.4736842105263,4.526315789473684,-5.04,8
137,15544,3546.71,8.0,9,3109,259,13.693861003861004,-4.643809932029784,0.024725274725274724,4.0,345.44444444444446,13.555555555555555,-4.199999999999999,8
138,15738,4812.42,18.0,16,2982,173,27.817456647398846,-5.772685619954039,0.04519774011299435,15.0,186.375,2.875,-23.65,8
139,17381,20275.61,8.0,29,25649,109,186.01477064220185,-2.3679777342052897,0.07967032967032966,3.0,884.448275862069,1.3793103448275863,-3.18,8
156,16186,4006.94,22.0,12,3020,218,18.38045871559633,-3.8157177264616546,0.03428571428571429,12.0,251.66666666666666,7.25,-15.0,8
158,17581,11045.04,1.0,25,5927,440,25.102363636363638,-1.7771985884919397,0.06720430107526881,66.0,237.08,9.16,-308.93,8
164,15061,54534.14,3.0,48,28920,403,135.32044665012407,-1.9792609579181946,0.13008130081300814,282.0,602.5,1.4583333333333333,-283.79999999999995,8
166,15640,12515.66,3.0,15,6607,484,25.858801652892563,-4.008784744485975,0.04076086956521739,35.0,440.46666666666664,16.0,-82.32,8
174,14031,17286.86,6.0,19,5788,250,69.14744,-3.114754094602797,0.05191256830601093,417.00000000000006,304.63157894736844,6.2631578947368425,-2587.95,8
176,12971,11189.91,3.0,86,9289,305,36.68822950819672,-2.005310531769065,0.23306233062330622,85.0,108.01162790697674,1.0930232558139534,-256.15,8
178,15299,3907.01,66.0,6,2947,6,651.1683333333334,-1.7247532883354633,0.019672131147540985,5.0,491.1666666666667,1.0,-6.01,8
181,17757,5601.34,1.0,30,3319,740,7.569378378378379,-4.544237789201638,0.08086253369272237,4.0,110.63333333333334,9.133333333333333,-19.8,8
183,13798,37153.85,1.0,57,23948,349,106.4580229226361,-2.4807902414479006,0.15363881401617252,434.0,420.140350877193,1.9824561403508771,-802.43,8
184,16754,2002.4,371.0,1,4280,2,1001.2,-1.0,1.0,0.0,4280.0,2.0,0.0,8
192,15093,4597.02,17.0,6,3760,108,42.565000000000005,-6.3690829383115215,0.01694915254237288,27.0,626.6666666666666,8.666666666666666,-186.87999999999997,8
200,17396,7312.8,38.0,7,2004,26,281.26153846153846,-2.4360010519187405,0.021021021021021023,0.0,286.2857142857143,3.2857142857142856,0.0,8
206,12841,4022.35,4.0,25,2757,420,9.577023809523808,-5.856261327739918,0.06793478260869565,74.0,110.28,9.16,-145.95000000000002,8
219,14156,117379.63,9.0,55,57885,1400,83.84259285714286,-1.9019800987199484,0.15193370165745856,859.0,1052.4545454545455,12.981818181818182,-2874.31,8
221,14680,28754.11,24.0,16,13476,258,111.45003875968993,-2.502927705227434,0.04610951008645533,1002.0000000000001,842.25,4.5625,-1821.77,8
223,12557,11990.960000000001,15.0,5,4384,33,363.36242424242425,-4.731151304787989,0.014044943820224719,0.0,876.8,3.0,0.0,8
225,13013,4810.9400000000005,1.0,13,2224,219,21.967762557077627,-4.779189735058835,0.03504043126684636,7.0,171.07692307692307,11.923076923076923,-23.95,8
229,16013,37130.6,3.0,47,15536,139,267.126618705036,-1.9135349608750059,0.12771739130434784,1594.0000000000002,330.5531914893617,0.6382978723404256,-3677.15,8
230,17949,58030.48,1.0,44,30450,69,841.0214492753623,-1.8988697430426968,0.11859838274932614,2878.0,692.0454545454545,0.6363636363636364,-4814.74,8
231,12779,3981.36,37.0,8,2024,149,26.72053691275168,-3.3259762006114904,0.023952095808383235,28.0,253.0,11.0,-112.66,8
234,12682,11028.22,3.0,31,5505,496,22.234314516129032,-3.4196041813578226,0.08423913043478261,0.0,177.58064516129033,6.709677419354839,0.0,8
246,15769,56252.72,6.0,26,29672,130,432.7132307692308,-3.19563033025872,0.07142857142857142,2012.0000000000002,1141.2307692307693,1.0,-4429.0,8
252,12395,2682.63,18.0,12,2097,144,18.629375,-4.935204573029846,0.03409090909090909,5.0,174.75,7.5,-20.35,8
254,13081,28337.38,11.0,11,19068,1024,27.67322265625,-3.116274828001047,0.030555555555555555,138.0,1733.4545454545455,45.72727272727273,-365.3,8
256,17243,8668.45,1.0,26,3366,399,21.72543859649123,-3.434921213805029,0.07046070460704607,8.0,129.46153846153845,6.884615384615385,-48.3,8
258,13089,58825.83,2.0,97,31070,1818,32.35744224422442,-1.5915076080699482,0.26430517711171664,283.0,320.30927835051546,6.556701030927835,-1439.95,8
259,16033,8816.4,5.0,20,3539,1137,7.754089709762533,-2.445956295618117,0.0547945205479452,23.0,176.95,26.9,-88.79,8
261,18055,6784.1900000000005,6.0,10,2455,360,18.844972222222225,-3.349047442160667,0.027548209366391185,5.0,245.5,22.3,-32.050000000000004,8
263,18109,8052.97,1.0,26,4237,444,18.13731981981982,-3.32537584328982,0.07046070460704607,18.0,162.96153846153845,4.576923076923077,-127.65,8
264,13069,4436.12,1.0,24,5885,425,10.437929411764706,-2.671444487986137,0.06504065040650407,419.0,245.20833333333334,11.708333333333334,-718.3,8
266,14800,4339.74,47.0,12,3655,385,11.272051948051947,-2.9960893848412,0.03715170278637771,21.0,304.5833333333333,20.5,-103.4,8
268,16839,16594.35,8.0,34,8975,266,62.38477443609022,-3.3746172906383274,0.09418282548476455,504.0,263.97058823529414,3.3529411764705883,-1232.07,8
270,16931,4604.22,4.0,21,3158,898,5.127193763919822,-6.401692328688941,0.057534246575342465,0.0,150.38095238095238,21.333333333333332,0.0,8
271,16814,6499.2,13.0,21,2763,323,20.121362229102168,-6.184061828390211,0.05898876404494382,1.0,131.57142857142858,5.761904761904762,-8.5,8
273,13269,5346.2300000000005,1.0,15,3514,316,16.91844936708861,-4.267908262318128,0.04065040650406504,5.0,234.26666666666668,11.8,-30.31,8
275,12567,8609.28,22.0,10,4261,438,19.655890410958907,-2.4957531498527916,0.02881844380403458,216.0,426.1,32.2,-286.34000000000003,8
279,16353,6675.71,3.0,23,2006,94,71.0181914893617,-4.068780325626832,0.06267029972752043,0.0,87.21739130434783,2.217391304347826,0.0,8
280,18118,5651.42,10.0,26,2870,1278,4.4220813771518,-3.258777354356282,0.07242339832869081,5.0,110.38461538461539,16.26923076923077,-58.05,8
291,15570,4165.52,6.0,12,2067,323,12.896346749226007,-4.174210416480184,0.03305785123966942,9.0,172.25,19.25,-55.55,8
295,17858,5155.66,5.0,12,2706,199,25.9078391959799,-6.055032537069808,0.03296703296703297,0.0,225.5,8.416666666666666,0.0,8
297,14527,8507.82,2.0,55,2087,971,8.761915550978372,-4.069006543723974,0.14986376021798364,4.0,37.945454545454545,5.9818181818181815,-28.6,8
302,15023,6783.86,2.0,11,2862,560,12.114035714285714,-4.503732590476253,0.02997275204359673,8.0,260.1818181818182,31.454545454545453,-39.6,8
307,15867,3806.1,4.0,15,2041,459,8.292156862745097,-5.778807584390957,0.04120879120879121,2.0,136.06666666666666,20.066666666666666,-14.85,8
308,12472,6068.11,31.0,7,4120,332,18.277439759036145,-3.494342414447669,0.020771513353115726,128.0,588.5714285714286,31.142857142857142,-342.63,8
310,15555,4802.18,11.0,16,4409,897,5.3536008918617615,-2.6517843314900134,0.0446927374301676,28.0,275.5625,25.0,-46.12,8
315,12720,5115.7300000000005,2.0,25,4635,342,14.958274853801171,-3.4976373284755233,0.0681198910081744,17.0,185.4,8.4,-50.45,8
316,16422,34684.4,16.0,51,33704,369,93.99566395663958,-2.9515514372527956,0.14488636363636365,120.0,660.8627450980392,1.3333333333333333,-373.4,8
318,15502,6923.98,15.0,10,4232,209,33.129090909090905,-1.9010855882552415,0.02824858757062147,407.0,423.2,16.3,-1375.4,8
327,17677,16363.23,1.0,30,9775,304,53.82641447368421,-2.0224680075334622,0.08152173913043478,50.0,325.8333333333333,5.933333333333334,-144.01,8
330,17428,17256.85,1.0,28,9474,328,52.61234756097561,-2.8698662663226573,0.07588075880758807,39.0,338.35714285714283,9.0,-178.4,8
333,16161,5575.56,1.0,19,2599,474,11.762784810126583,-2.798162552665356,0.051630434782608696,58.0,136.78947368421052,15.052631578947368,-178.84,8
350,15039,19914.44,9.0,47,9209,1502,13.25861517976032,-3.119712234336027,0.13055555555555556,18.0,195.93617021276594,8.680851063829786,-128.0,8
354,14189,4654.08,1.0,15,3937,265,17.56256603773585,-3.4599373369376596,0.04087193460490463,18.0,262.46666666666664,11.733333333333333,-49.769999999999996,8
359,15301,5070.35,50.0,12,2775,243,20.865637860082305,-3.7125651119519,0.03773584905660377,7.0,231.25,13.916666666666666,-42.23,8
364,17596,2827.93,22.0,7,4400,270,10.473814814814814,-6.021803516403525,0.02023121387283237,0.0,628.5714285714286,24.0,0.0,8
365,15078,9743.11,6.0,32,5105,440,22.14343181818182,-2.3041627671423033,0.08839779005524862,36.0,159.53125,3.03125,-119.76,8
366,14085,4448.54,1.0,18,3184,450,9.885644444444445,-2.9987238828924854,0.04904632152588556,1.0,176.88888888888889,15.11111111111111,-12.75,8
373,16722,4730.81,16.0,13,5001,225,21.025822222222224,-4.713080942006934,0.036931818181818184,12.0,384.6923076923077,7.384615384615385,-19.6,8
375,14667,9236.95,10.0,25,5384,572,16.148513986013988,-2.9084108712579146,0.06983240223463687,3.0,215.36,14.12,-10.0,8
382,17068,4545.89,11.0,21,2159,295,15.409796610169492,-5.204618896712706,0.05898876404494382,10.0,102.80952380952381,5.476190476190476,-20.8,8
388,15194,7616.53,2.0,15,5703,310,24.569451612903226,-5.044131617335403,0.040983606557377046,55.0,380.2,13.933333333333334,-95.36,8
405,17450,194550.79,7.0,46,69993,337,577.3020474777448,-1.7065108990810232,0.12777777777777777,952.0,1521.5869565217392,2.6956521739130435,-4815.26,8
410,12681,12365.54,14.0,22,7457,616,20.073928571428574,-4.167027680617477,0.062146892655367235,15.0,338.95454545454544,12.090909090909092,-55.949999999999996,8
412,17735,13110.02,1.0,19,8439,690,19.000028985507246,-5.968913085910283,0.05191256830601093,0.0,444.1578947368421,16.789473684210527,0.0,8
416,15838,33643.08,10.0,19,18368,167,201.45556886227547,-3.098297285050839,0.05322128851540616,0.0,966.7368421052631,2.8421052631578947,0.0,8
417,14733,9585.91,15.0,12,3764,202,47.455,-4.720604279668158,0.03409090909090909,39.0,313.6666666666667,8.5,-134.37,8
418,13756,5189.52,1.0,14,3188,142,36.54591549295775,-3.1319937019244373,0.03825136612021858,24.0,227.71428571428572,4.714285714285714,-44.400000000000006,8
422,17491,3558.87,1.0,10,2013,109,32.65018348623853,-4.77796286627221,0.027247956403269755,1.0,201.3,7.2,-16.95,8
423,14282,3729.34,2.0,15,2668,156,23.906025641025643,-5.591784196084872,0.0410958904109589,0.0,177.86666666666667,4.666666666666667,0.0,8
426,13488,8968.31,16.0,13,4518,422,21.25191943127962,-5.2563539635014624,0.037037037037037035,6.0,347.53846153846155,20.846153846153847,-57.7,8
431,17675,20374.28,1.0,31,8360,705,28.89968794326241,-3.2463747024160274,0.08446866485013624,82.0,269.6774193548387,7.709677419354839,-276.18,8
433,16904,3750.4700000000003,3.0,16,2024,709,5.289802538787025,-5.305955483037842,0.0440771349862259,0.0,126.5,24.125,0.0,8
442,14739,3902.28,3.0,7,3820,60,65.038,-3.675948683255884,0.019230769230769232,3.0,545.7142857142857,6.714285714285714,-3.18,8
451,19111,11540.34,366.0,1,2200,148,77.97527027027027,-1.0,1.0,0.0,2200.0,148.0,0.0,8
457,12839,5591.42,2.0,14,3807,314,17.80707006369427,-8.310069889732151,0.038356164383561646,2.0,271.92857142857144,6.785714285714286,-3.3,8
462,18102,259657.3,1.0,60,64124,431,602.45313225058,-1.5133566669837912,0.16348773841961853,0.0,1068.7333333333333,2.5,0.0,8
468,13078,12627.94,2.0,26,5630,358,35.27357541899441,-2.72785212224351,0.07142857142857142,73.0,216.53846153846155,3.6538461538461537,-195.66,8
470,13050,5833.11,14.0,17,3747,402,14.510223880597014,-3.8221370645084654,0.048295454545454544,41.0,220.41176470588235,14.411764705882353,-152.25,8
471,12709,9430.52,14.0,15,3919,203,46.45576354679803,-3.363760351576863,0.04261363636363636,103.00000000000001,261.26666666666665,6.133333333333334,-440.77,8
475,16779,10629.720000000001,1.0,22,5325,333,31.921081081081084,-2.782096384669936,0.06027397260273973,89.0,242.04545454545453,7.318181818181818,-175.67000000000002,8
477,13599,5153.67,1.0,21,3294,247,20.86506072874494,-2.4728391103597827,0.05737704918032787,124.0,156.85714285714286,8.142857142857142,-121.35,8
485,14796,8020.93,1.0,17,6021,1140,7.03590350877193,-2.238994604314757,0.04644808743169399,83.0,354.1764705882353,23.647058823529413,-182.98,8
487,13199,9802.12,3.0,37,6175,118,83.06881355932204,-2.8150224988998502,0.10164835164835165,4.0,166.8918918918919,1.2702702702702702,-13.16,8
488,14032,2975.59,1.0,11,2032,143,20.80832167832168,-4.677063120680795,0.030136986301369864,24.0,184.72727272727272,4.818181818181818,-45.75,8
489,17706,10504.49,3.0,17,3899,382,27.498664921465966,-2.3435016174133927,0.046831955922865015,66.0,229.35294117647058,15.882352941176471,-407.12000000000006,8
491,16525,13027.45,1.0,26,7397,183,71.18825136612023,-5.14384547902173,0.07123287671232877,904.0,284.5,2.8846153846153846,-1131.88,8
494,13126,2099.64,4.0,8,2143,140,14.997428571428571,-3.9381773318855977,0.022099447513812154,13.0,267.875,15.5,-43.349999999999994,8
496,16558,8338.49,1.0,20,5377,460,18.127152173913043,-5.5159947540861936,0.0546448087431694,31.0,268.85,13.2,-81.45,8
499,15529,3992.68,22.0,11,3495,671,5.950342771982116,-4.2296177364595735,0.03197674418604651,7.0,317.72727272727275,37.63636363636363,-27.450000000000003,8
500,15498,13316.4,2.0,27,6105,512,26.00859375,-2.0161797355683846,0.07397260273972603,15.0,226.11111111111111,13.333333333333334,-63.85,8
